Fraction Removed,LCC Size,Number of Components
0.2726,2,935
0.2728,2,934
0.2730,2,934
0.2732,2,933
0.2734,2,932
0.2736,2,932
0.2738,2,932
0.2740,2,931
0.2742,2,931
0.2744,2,931
0.2746,2,930
0.2748,2,930
0.2750,2,929
0.2752,2,928
0.2754,2,927
0.2756,2,926
0.2758,2,925
0.2760,2,924
0.2762,2,924
0.2764,2,924
0.2766,2,923
0.2768,2,923
0.2770,2,922
0.2772,2,921
0.2774,2,920
0.2776,2,919
0.2778,2,919
0.2780,2,919
0.2782,2,919
0.2784,2,919
0.2786,2,918
0.2788,2,917
0.2790,2,916
0.2792,2,916
0.2794,2,915
0.2796,2,915
0.2798,2,914
0.2800,2,913
0.2802,2,912
0.2804,2,911
0.2806,2,911
0.2808,2,910
0.2810,2,909
0.2812,2,908
0.2814,2,908
0.2816,2,907
0.2818,2,906
0.2820,2,905
0.2822,2,905
0.2824,2,904
0.2826,2,903
0.2828,2,903
0.2830,2,902
0.2832,2,901
0.2834,2,901
0.2836,2,901
0.2838,2,900
0.2840,2,899
0.2842,2,899
0.2844,2,898
0.2846,2,897
0.2848,2,896
0.2850,2,895
0.2852,2,895
0.2854,2,894
0.2856,2,893
0.2858,2,892
0.2860,2,892
0.2862,2,891
0.2864,2,891
0.2866,2,890
0.2868,2,889
0.2870,2,889
0.2872,2,888
0.2874,2,888
0.2876,2,887
0.2878,2,886
0.2880,2,885
0.2882,2,884
0.2884,2,883
0.2886,2,882
0.2888,2,882
0.2890,2,881
0.2892,2,881
0.2894,2,880
0.2896,2,879
